#;Url;IC 1;IC 2;EC 1
168;https://dl.acm.org/doi/10.1145/3417990.3420204;;;x
169;https://dl.acm.org/doi/10.1145/3417990.3420209;;;x
170;https://news.ycombinator.com/item?id=24850416;x;;
171;https://www.scitepress.org/Papers/2021/104428/104428.pdf;;;x
172;http://www.wikicfp.com/cfp/program?id=33091;;;x
173;https://conf.researchr.org/track/models-2020/models-2020-workshops;;;x
174;https://conf.researchr.org/program/models-2020/program-models-2020;;;x
175;https://scanr.enseignementsup-recherche.gouv.fr/publication/hal-01078437;;;x
176;https://www.lowcomote.eu/workshops/01/;;;x
177;https://www.researchgate.net/publication/344300032_Democratizing_the_Development_of_Recommender_Systems_by_means_of_Low-code_Platforms;;;x
178;https://www.researchgate.net/publication/334982013_Model-Driven_Integration_Testing_of_Hypermedia_Systems;;;x
179;https://deepai.org/publication/ml-quadrat-driotdata-a-model-driven-engineering-tool-and-a-low-code-platform-for-smart-iot-services;;;x
180;https://www.bizagi.com/en/blog/agile-low-code/what-is-low-code-automation-how-could-it-benefit-you;x;x;-
181;https://wem.io/wp-content/uploads/2019/06/IDC-Technology-Spotlight-on-WEM.pdf;x;;
182;https://www.researchgate.net/figure/Instance-of-UML-Model_fig3_302480923;;;x
183;https://www.researchgate.net/publication/278033194_A_Model-Driven_Approach_to_Generate_Mobile_Applications_for_Multiple_Platforms;;;x
184;https://www.researchgate.net/publication/308842289_Model-Driven_Development_of_Cross-Platform_Mobile_Applications_with_Web_Ratio_and_IFML;;;x
185;https://files.eric.ed.gov/fulltext/EJ1012873.pdf;;;x
186;https://www.lgcns.com/En/Solution/DevOn-MDD;;;
187;https://www.sosym.org/;;;x
188;https://www.eclipse.org/osbp/OSBP-management-summary.html;x;;
189;https://dl.acm.org/doi/abs/10.1145/3417990.3420203;;;x
190;https://dl.acm.org/doi/10.1145/3417990.3420203;;;x
191;https://www.semanticscholar.org/paper/Using-Model-Driven-Security-Approaches-in-Web-Hochreiner-Ma/c19575aa6d8c1ca22cad77eefacb06e22f78b38a;;;x
192;https://modeling-languages.com/list-mddmda-books/;x;;x
193;https://dl.acm.org/doi/abs/10.1145/3417990.3420210;;;x
194;https://saucelabs.com/blog/how-model-based-testing-expands-your-test-coverage;;;x
195;https://hal.archives-ouvertes.fr/hal-02946812;;;x
196;http://wikicfp.com/cfp/servlet/event.showcfp?eventid=136746&copyownerid=169679;x;;x
197;https://www.researchgate.net/publication/224262694_Security_in_Model_Driven_Development_A_Survey;;;x
198;https://www.researchgate.net/publication/275637197_Collaborative_Repositories_in_Model-Driven_Engineering_Software_Technology;;;x
199;https://blog.curiositysoftware.ie/software-testing-trends/curiosity-applitools-workflow;x;;
;;;;
;;;;
;;;;
;Snowball;;;
200;https://www.mendix.com/blog/introducing-the-low-code-manifesto/;from 2;;
201;https://www.mendix.com/low-code-guide/low-code-use-cases/;from 2;;
202;https://www.alibabacloud.com/blog/yida-plus-alibabas-solution-for-low-code-development_595486?spm=a2c65.11461447.0.0.7462759fDy3ECU;from 131;;
